herb_id,positive_degree,candidate_target_count,unique_negative_capacity,requested_negative_count,capacity_deficit,saturation_flag,exact_per_herb_quota_possible,duplicate_negative_count,false_negative_against_train_labels
H0748,19,2309,2290,19,0,False,True,0,0
H0750,457,2309,1852,457,0,False,True,0,0
H0751,38,2309,2271,38,0,False,True,0,0
H0752,38,2309,2271,38,0,False,True,0,0
H0753,38,2309,2271,38,0,False,True,0,0
H0754,14,2309,2295,14,0,False,True,0,0
H0755,72,2309,2237,72,0,False,True,0,0
H0756,140,2309,2169,140,0,False,True,0,0
H0757,142,2309,2167,142,0,False,True,0,0
H0758,413,2309,1896,413,0,False,True,0,0
H0760,136,2309,2173,136,0,False,True,0,0
H0764,290,2309,2019,290,0,False,True,0,0
H0766,51,2309,2258,51,0,False,True,0,0
H0767,1,2309,2308,1,0,False,True,0,0
H0768,114,2309,2195,114,0,False,True,0,0
H0769,86,2309,2223,86,0,False,True,0,0
H0770,85,2309,2224,85,0,False,True,0,0
H0771,85,2309,2224,85,0,False,True,0,0
H0772,260,2309,2049,260,0,False,True,0,0
H0773,54,2309,2255,54,0,False,True,0,0
H0774,26,2309,2283,26,0,False,True,0,0
H0775,41,2309,2268,41,0,False,True,0,0
H0776,29,2309,2280,29,0,False,True,0,0
H0777,228,2309,2081,228,0,False,True,0,0
H0778,30,2309,2279,30,0,False,True,0,0
H0779,228,2309,2081,228,0,False,True,0,0
H0780,24,2309,2285,24,0,False,True,0,0
H0781,18,2309,2291,18,0,False,True,0,0
H0782,12,2309,2297,12,0,False,True,0,0
H0783,5,2309,2304,5,0,False,True,0,0
H0784,178,2309,2131,178,0,False,True,0,0
H0785,136,2309,2173,136,0,False,True,0,0
H0786,63,2309,2246,63,0,False,True,0,0
H0787,63,2309,2246,63,0,False,True,0,0
H0788,63,2309,2246,63,0,False,True,0,0
H0789,63,2309,2246,63,0,False,True,0,0
H0790,63,2309,2246,63,0,False,True,0,0
H0796,1,2309,2308,1,0,False,True,0,0
H0797,2,2309,2307,2,0,False,True,0,0
H0798,224,2309,2085,224,0,False,True,0,0
H0799,1,2309,2308,1,0,False,True,0,0
H0800,1,2309,2308,1,0,False,True,0,0
H0801,102,2309,2207,102,0,False,True,0,0
H0802,201,2309,2108,201,0,False,True,0,0
H0803,37,2309,2272,37,0,False,True,0,0
H0804,422,2309,1887,422,0,False,True,0,0
H0805,413,2309,1896,413,0,False,True,0,0
H0806,7,2309,2302,7,0,False,True,0,0
H0807,24,2309,2285,24,0,False,True,0,0
H0808,20,2309,2289,20,0,False,True,0,0
H0809,208,2309,2101,208,0,False,True,0,0
H0810,1,2309,2308,1,0,False,True,0,0
H0811,13,2309,2296,13,0,False,True,0,0
H0813,413,2309,1896,413,0,False,True,0,0
H0815,1,2309,2308,1,0,False,True,0,0
