panel,method,short_label,method_group,metric,value_full_precision,value_display,validation_only,source_file,notes
A,COMPOUND_NN_TRANSFER_K25,Compound-profile NN (K=25),simple_baseline,validation macro herb-level AUPR,0.748219647855732,0.7482,True,review-safe public aggregate/source-data input,"Compound-profile nearest-neighbor transfer with K=25; validation-only similarity diagnostic, not proof of leakage."
A,GCN validation aggregate,GCN validation aggregate,graph_model_validation_reference,validation macro herb-level AUPR,0.7420196473974839,0.7420,True,review-safe public aggregate/source-data input,Graph-model validation aggregate reference; not a sealed-test result.
A,TCMRGAT validation aggregate,TCMRGAT validation aggregate,graph_model_validation_reference,validation macro herb-level AUPR,0.7405796132084498,0.7406,True,review-safe public aggregate/source-data input,Graph-model validation aggregate reference; not a sealed-test result.
A,HeteroSAGE validation aggregate,HeteroSAGE validation aggregate,graph_model_validation_reference,validation macro herb-level AUPR,0.7396853430819678,0.7397,True,review-safe public aggregate/source-data input,Graph-model validation aggregate reference; not a sealed-test result.
A,TARGET_POPULARITY,Target popularity,simple_baseline,validation macro herb-level AUPR,0.4122583390085477,0.4123,True,review-safe public aggregate/source-data input,Global train target support assigned to every validation herb.
A,CT_PROP_WEIGHTED,CT propagation (weighted),propagation_baseline,validation macro herb-level AUPR,0.0788658873793865,0.0789,True,review-safe public aggregate/source-data input,Weighted compound-target propagation baseline; validation-only.
A,CT_PROP_BINARY,CT propagation (binary),propagation_baseline,validation macro herb-level AUPR,0.0750508407265534,0.0751,True,review-safe public aggregate/source-data input,Binary compound-target propagation baseline; validation-only.
A,RANDOM_SEEDED,Random baseline,random_baseline,validation macro herb-level AUPR,0.0598977090682951,0.0599,True,review-safe public aggregate/source-data input,Seeded deterministic hash random scores; validation-only.
