source_node_id,target_node_id,relation_name,source_node_type,target_node_type,derived_reverse
C0039,H0934,compound_in_herb,compound,herb,True
C0039,H0959,compound_in_herb,compound,herb,True
C0039,H0967,compound_in_herb,compound,herb,True
C0039,H0974,compound_in_herb,compound,herb,True
C0039,H0975,compound_in_herb,compound,herb,True
C0039,H0990,compound_in_herb,compound,herb,True
C0039,H1009,compound_in_herb,compound,herb,True
C0039,H1035,compound_in_herb,compound,herb,True
C0039,H1082,compound_in_herb,compound,herb,True
C0039,H1097,compound_in_herb,compound,herb,True
C0039,H1130,compound_in_herb,compound,herb,True
C0039,H1137,compound_in_herb,compound,herb,True
C0039,H1170,compound_in_herb,compound,herb,True
C0039,H1171,compound_in_herb,compound,herb,True
C0039,H1220,compound_in_herb,compound,herb,True
C0039,H1221,compound_in_herb,compound,herb,True
C0040,H0590,compound_in_herb,compound,herb,True
C0040,H0592,compound_in_herb,compound,herb,True
C0040,H0832,compound_in_herb,compound,herb,True
C0040,H0848,compound_in_herb,compound,herb,True
C0040,H1011,compound_in_herb,compound,herb,True
C0040,H1173,compound_in_herb,compound,herb,True
C0041,H0689,compound_in_herb,compound,herb,True
C0041,H0809,compound_in_herb,compound,herb,True
C0041,H0853,compound_in_herb,compound,herb,True
C0041,H0926,compound_in_herb,compound,herb,True
C0041,H0927,compound_in_herb,compound,herb,True
C0041,H0928,compound_in_herb,compound,herb,True
C0041,H0998,compound_in_herb,compound,herb,True
C0041,H1000,compound_in_herb,compound,herb,True
C0041,H1011,compound_in_herb,compound,herb,True
C0041,H1026,compound_in_herb,compound,herb,True
C0041,H1066,compound_in_herb,compound,herb,True
C0041,H1067,compound_in_herb,compound,herb,True
C0041,H1069,compound_in_herb,compound,herb,True
C0041,H1070,compound_in_herb,compound,herb,True
C0041,H1071,compound_in_herb,compound,herb,True
C0041,H1072,compound_in_herb,compound,herb,True
C0041,H1073,compound_in_herb,compound,herb,True
C0041,H1074,compound_in_herb,compound,herb,True
C0041,H1075,compound_in_herb,compound,herb,True
C0041,H1100,compound_in_herb,compound,herb,True
C0041,H1173,compound_in_herb,compound,herb,True
C0041,H1223,compound_in_herb,compound,herb,True
C0042,H0880,compound_in_herb,compound,herb,True
C0042,H1196,compound_in_herb,compound,herb,True
C0044,H1066,compound_in_herb,compound,herb,True
C0044,H1067,compound_in_herb,compound,herb,True
C0044,H1069,compound_in_herb,compound,herb,True
C0044,H1070,compound_in_herb,compound,herb,True
C0044,H1071,compound_in_herb,compound,herb,True
C0044,H1072,compound_in_herb,compound,herb,True
C0044,H1073,compound_in_herb,compound,herb,True
C0044,H1074,compound_in_herb,compound,herb,True
C0044,H1075,compound_in_herb,compound,herb,True
C0044,H1076,compound_in_herb,compound,herb,True
C0045,H0637,compound_in_herb,compound,herb,True
C0045,H0733,compound_in_herb,compound,herb,True
C0045,H0818,compound_in_herb,compound,herb,True
C0045,H0819,compound_in_herb,compound,herb,True
C0045,H0926,compound_in_herb,compound,herb,True
C0045,H0927,compound_in_herb,compound,herb,True
C0045,H0928,compound_in_herb,compound,herb,True
C0045,H0998,compound_in_herb,compound,herb,True
C0045,H1000,compound_in_herb,compound,herb,True
C0045,H1004,compound_in_herb,compound,herb,True
C0045,H1029,compound_in_herb,compound,herb,True
C0045,H1066,compound_in_herb,compound,herb,True
C0045,H1067,compound_in_herb,compound,herb,True
C0045,H1069,compound_in_herb,compound,herb,True
C0045,H1070,compound_in_herb,compound,herb,True
C0045,H1071,compound_in_herb,compound,herb,True
C0045,H1072,compound_in_herb,compound,herb,True
C0045,H1073,compound_in_herb,compound,herb,True
C0045,H1074,compound_in_herb,compound,herb,True
C0045,H1075,compound_in_herb,compound,herb,True
C0045,H1114,compound_in_herb,compound,herb,True
C0045,H1127,compound_in_herb,compound,herb,True
C0045,H1139,compound_in_herb,compound,herb,True
C0045,H1164,compound_in_herb,compound,herb,True
C0045,H1169,compound_in_herb,compound,herb,True
C0046,H0637,compound_in_herb,compound,herb,True
C0046,H0721,compound_in_herb,compound,herb,True
C0046,H0733,compound_in_herb,compound,herb,True
C0046,H0750,compound_in_herb,compound,herb,True
C0046,H0818,compound_in_herb,compound,herb,True
C0046,H0819,compound_in_herb,compound,herb,True
C0046,H0989,compound_in_herb,compound,herb,True
C0046,H1004,compound_in_herb,compound,herb,True
C0046,H1029,compound_in_herb,compound,herb,True
C0046,H1051,compound_in_herb,compound,herb,True
C0046,H1055,compound_in_herb,compound,herb,True
C0046,H1127,compound_in_herb,compound,herb,True
C0046,H1140,compound_in_herb,compound,herb,True
C0046,H1141,compound_in_herb,compound,herb,True
C0046,H1211,compound_in_herb,compound,herb,True
C0047,H0637,compound_in_herb,compound,herb,True
C0047,H0721,compound_in_herb,compound,herb,True
C0047,H0818,compound_in_herb,compound,herb,True
C0047,H0819,compound_in_herb,compound,herb,True
C0047,H1004,compound_in_herb,compound,herb,True
C0047,H1029,compound_in_herb,compound,herb,True
C0049,H0736,compound_in_herb,compound,herb,True
C0049,H0831,compound_in_herb,compound,herb,True
C0049,H0849,compound_in_herb,compound,herb,True
C0049,H0850,compound_in_herb,compound,herb,True
C0049,H0943,compound_in_herb,compound,herb,True
C0049,H1035,compound_in_herb,compound,herb,True
C0049,H1134,compound_in_herb,compound,herb,True
C0049,H1203,compound_in_herb,compound,herb,True
C0049,H1226,compound_in_herb,compound,herb,True
C0050,H0698,compound_in_herb,compound,herb,True
C0050,H0777,compound_in_herb,compound,herb,True
C0050,H0779,compound_in_herb,compound,herb,True
C0050,H0965,compound_in_herb,compound,herb,True
C0050,H1251,compound_in_herb,compound,herb,True
C0050,H1252,compound_in_herb,compound,herb,True
C0050,H1253,compound_in_herb,compound,herb,True
C0050,H1254,compound_in_herb,compound,herb,True
C0051,H1170,compound_in_herb,compound,herb,True
C0051,H1171,compound_in_herb,compound,herb,True
C0053,H0585,compound_in_herb,compound,herb,True
C0053,H0612,compound_in_herb,compound,herb,True
C0053,H0614,compound_in_herb,compound,herb,True
C0053,H0640,compound_in_herb,compound,herb,True
C0053,H0704,compound_in_herb,compound,herb,True
C0053,H0745,compound_in_herb,compound,herb,True
C0053,H0746,compound_in_herb,compound,herb,True
C0053,H0758,compound_in_herb,compound,herb,True
C0053,H0802,compound_in_herb,compound,herb,True
C0053,H0804,compound_in_herb,compound,herb,True
C0053,H0805,compound_in_herb,compound,herb,True
