herb_id,P1_group_signature,P2_group_signature,same_member_set,P2_added_connectivity,difference_reason
H0072,P1SIG_3f54413b1364,P2SIG_3f54413b1364,True,False,
H0073,P1SIG_1c55930ace59,P2SIG_1c55930ace59,True,False,
H0074,P1SIG_d0d367b7e3ea,P2SIG_d0d367b7e3ea,True,False,
H0075,P1SIG_f4bf38e339de,P2SIG_f4bf38e339de,True,False,
H0076,P1SIG_5da2f0fa4378,P2SIG_5da2f0fa4378,True,False,
H0077,P1SIG_473893237809,P2SIG_473893237809,True,False,
H0078,P1SIG_f77bd9e0b6ab,P2SIG_f77bd9e0b6ab,True,False,
H0079,P1SIG_ac75075aad13,P2SIG_ac75075aad13,True,False,
H0080,P1SIG_0f7692e6ff25,P2SIG_0f7692e6ff25,True,False,
H0081,P1SIG_c0e51621d209,P2SIG_c0e51621d209,True,False,
H0082,P1SIG_05638e08eab1,P2SIG_05638e08eab1,True,False,
H0083,P1SIG_7e6ffff9bcdc,P2SIG_7e6ffff9bcdc,True,False,
H0084,P1SIG_2906bdd99bcb,P2SIG_2906bdd99bcb,True,False,
H0085,P1SIG_0828edcebfd3,P2SIG_0828edcebfd3,True,False,
H0086,P1SIG_0530df36afaf,P2SIG_0530df36afaf,True,False,
H0087,P1SIG_4767320870ea,P2SIG_4767320870ea,True,False,
H0088,P1SIG_4e2b0b716c0f,P2SIG_4e2b0b716c0f,True,False,
H0089,P1SIG_ed4b55ceb16c,P2SIG_ed4b55ceb16c,True,False,
H0090,P1SIG_9b0f40d8135d,P2SIG_9b0f40d8135d,True,False,
H0091,P1SIG_f00c546fdaef,P2SIG_f00c546fdaef,True,False,
H0092,P1SIG_d54070b673a2,P2SIG_d54070b673a2,True,False,
H0093,P1SIG_71ca8b3954af,P2SIG_71ca8b3954af,True,False,
H0094,P1SIG_21782fd22a93,P2SIG_21782fd22a93,True,False,
H0095,P1SIG_b2ef075ca5b1,P2SIG_b2ef075ca5b1,True,False,
H0096,P1SIG_2721b304cb93,P2SIG_2721b304cb93,True,False,
H0097,P1SIG_3edba5160e58,P2SIG_3edba5160e58,True,False,
H0098,P1SIG_1d5decc1aaca,P2SIG_1d5decc1aaca,True,False,
H0099,P1SIG_74669cbbc77f,P2SIG_74669cbbc77f,True,False,
H0100,P1SIG_5a9ffce16ed0,P2SIG_5a9ffce16ed0,True,False,
H0101,P1SIG_c5a7530d271c,P2SIG_c5a7530d271c,True,False,
H0102,P1SIG_46932cc89bdd,P2SIG_46932cc89bdd,True,False,
H0103,P1SIG_d251820dd6eb,P2SIG_d251820dd6eb,True,False,
H0104,P1SIG_b70d0203c5c5,P2SIG_b70d0203c5c5,True,False,
H0105,P1SIG_27822b90ea02,P2SIG_27822b90ea02,True,False,
