current_target_id,proposed_canonical_target_id,hgnc_id,hgnc_match_type,source_internal_target_ids,source_uniprot_values,approved_final_operation,authority_snapshot_hashes,expected_canonical_target_id,mapping_matches_approval
ARNTL,BMAL1,HGNC:701,Previous symbol,T67GDP,O00327,RENAME_TO_CANONICAL_GENE,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,BMAL1,True
MFSD4B,SLC60A2,HGNC:21053,Previous symbol,T89YVM,Q5TF39,RENAME_TO_CANONICAL_GENE,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,SLC60A2,True
NCL,NUCLEOLIN,HGNC:7667,Previous symbol,T41A2B,P19338,RENAME_TO_CANONICAL_GENE,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,NUCLEOLIN,True
PHB,PHB1,HGNC:8912,Previous symbol,T80LLJ,P35232,RENAME_TO_CANONICAL_GENE,HGNC=5a2ed2d1ec244d1ad8a096edc04839c83d635ec886f5bc4b0dd77c00964af697|UniProt=1e3b0adc7fff61dacacbaee8951b4c8c2a6c1f5614ae71d7a06d6d0d65f0882e|UniProtSupplemental=4d8278a0fb2471d408f769f6602f86d8e1f6f1be9e323f2ea89b20a5f08829fe|UniSave=841eb61145d89268977d777b40da5d68ed61675e166015f6305a3ee1e691cccc|NCBI=a6f7cbd96abd88612282b4c6e4f424c02bdd56a31e1103ab0a07db5e901a20e8,PHB1,True
